City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
250,Guiratinga,BR,2020-08-30 20:14:55,-16.35,-53.76,97.52,12,0,5.46
251,Agucadoura,PT,2020-08-30 20:14:55,41.43,-8.78,66.99,72,0,6.93
252,Mujiayingzi,CN,2020-08-30 20:14:56,42.12,118.78,66.96,87,51,2.86
253,Oriximina,BR,2020-08-30 20:14:56,-1.77,-55.87,93.81,40,35,8.41
254,Hokitika,NZ,2020-08-30 20:14:57,-42.72,170.97,51.93,82,100,2.42
255,Isangel,VU,2020-08-30 20:14:57,-19.55,169.27,69.8,83,90,16.46
256,Kenai,US,2020-08-30 20:14:58,60.55,-151.26,60.8,51,40,12.75
257,Walvis Bay,NA,2020-08-30 20:10:07,-22.96,14.51,59.0,53,0,10.29
258,Bukachacha,RU,2020-08-30 20:14:58,52.98,116.92,50.45,92,100,2.59
259,Denpasar,ID,2020-08-30 20:14:36,-8.65,115.22,78.8,94,40,14.99
260,Burgersdorp,ZA,2020-08-30 20:14:59,-31.0,26.33,34.59,71,0,6.69
261,Dalbandin,PK,2020-08-30 20:14:59,28.89,64.41,83.12,13,37,4.65
262,San Ramon,US,2020-08-30 20:15:00,37.78,-121.98,84.0,44,1,5.82
263,Semirom,IR,2020-08-30 20:10:40,31.42,51.57,50.14,45,0,5.19
264,Prince Rupert,CA,2020-08-30 20:10:21,54.32,-130.32,55.4,93,90,6.93
265,Samana,DO,2020-08-30 20:15:00,19.21,-69.34,89.6,70,20,6.93
266,Aguimes,ES,2020-08-30 20:15:01,27.91,-15.45,73.99,64,20,21.92
267,Mnogovershinnyy,RU,2020-08-30 20:15:01,53.94,139.92,41.22,81,19,4.76
268,Ambulu,ID,2020-08-30 20:15:02,-8.35,113.61,71.08,83,97,4.83
269,Eyl,SO,2020-08-30 20:15:02,7.98,49.82,78.33,74,100,24.18
270,Katsuura,JP,2020-08-30 20:15:03,35.13,140.3,80.6,94,75,3.36
271,Hamilton,US,2020-08-30 20:11:53,39.18,-84.53,82.0,36,1,5.82
272,Shepsi,RU,2020-08-30 20:15:04,44.04,39.15,75.81,60,0,8.57
273,Maua,BR,2020-08-30 20:15:04,-23.67,-46.46,87.8,25,0,6.93
274,Nova Olimpia,BR,2020-08-30 20:15:04,-14.8,-57.29,105.1,10,0,3.04
275,Hualmay,PE,2020-08-30 20:15:05,-11.1,-77.61,66.18,69,15,11.34
276,Nalut,LY,2020-08-30 20:15:05,30.33,10.85,90.3,12,0,6.82
277,Svolvaer,NO,2020-08-30 20:15:06,68.23,14.57,44.6,70,20,5.82
278,Sola,VU,2020-08-30 20:15:06,-13.88,167.55,80.01,81,99,19.8
279,Port Hedland,AU,2020-08-30 20:15:06,-20.32,118.57,68.0,37,0,9.17
280,Kirakira,SB,2020-08-30 20:15:07,-10.45,161.92,80.8,82,100,13.73
281,Rohri,PK,2020-08-30 20:15:07,27.69,68.9,87.8,74,40,10.78
282,Buala,SB,2020-08-30 20:15:07,-8.14,159.59,81.3,82,28,10.49
283,Naze,JP,2020-08-30 20:15:08,28.37,129.48,80.6,94,20,5.82
284,Bridlington,GB,2020-08-30 20:15:08,54.08,-0.19,53.6,71,85,2.24
285,Pangnirtung,CA,2020-08-30 20:15:08,66.15,-65.71,46.4,87,20,8.05
286,Kisangani,CD,2020-08-30 20:15:09,0.52,25.2,71.22,93,1,1.48
287,Padang,ID,2020-08-30 20:15:09,-0.95,100.35,77.27,81,100,4.74
288,Bulaevo,KZ,2020-08-30 20:15:09,54.91,70.44,67.78,77,4,6.44
